字,辅码
䗫,im
䗮,ix
䗯,iz
䗰,ib
䗱,in
䗲,il
䗴,iz
䗵,ia
䗷,ix
䗸,wi
䗺,zi
䗼,ih
䗽,yi
䗿,id
䘀,pi
䘃,it
䘄,li
䘆,ix
䘊,iu
䘋,ij
䘎,ig
䘒,xw
䘓,xj
䘔,xk
䘕,ii
䘘,ii
䘝,py
䘟,pl
䘡,by
䘢,pd
䘣,pb
䘤,pu
䘥,pj
䘦,pb
䘨,px
䘩,po
䘪,pe
䘬,pu
䘭,pt
䘯,po
䘰,pz
䘳,pj
䘵,pu
䘶,pk
䘷,pd
䘸,pn
䘹,pu
䘺,pr
䘻,po
䘼,pv
䘽,pe
䘾,pk
䘿,pi
䙁,pg
䙃,po
䙄,pj
䙅,pn
䙆,pt
䙇,pd
䙈,pu
䙉,po
䙌,pr
䙎,pd
䙏,pc
䙐,pl
䙑,py
䙒,pt
䙔,pk
䙕,pr
䙘,px
䙞,pa
䙟,pl
䙠,pr
䙡,pb
䙢,po
䙣,pf
䙤,pz
䙦,px
䙩,"pn,pu"
䙬,pn
䙮,pf
䙯,pr
䙰,pf
䙳,xh
䙵,xt
䙼,de
䙽,de
䙾,be
䙿,we
䚂,te
䚃,le
䚄,ee
䚅,le
䚆,ce
䚇,ue
䚈,xe
䚉,fe
䚊,be
䚋,ke
䚍,fe
䚏,me
䚐,ue
䚒,le
䚔,be
䚕,ae
䚖,ye
䚗,ds
䚘,ii
䚙,da
䚚,de
䚛,dk
䚜,du
䚝,du
䚞,dl
䚟,dc
䚠,db
䚡,dx
䚢,dm
䚣,dr
䚥,dd
䚦,dj
䚧,dp
䚨,dy
䚩,dk
䚪,dy
䚫,by
䚬,dl
䚭,df
䚮,wn
䚯,wd
䚰,wb
䚳,wy
䚴,wo
䚵,wu
䚶,wt
䚷,wv
䚸,wl
䚹,wb
䚻,pk
䚽,wm
䚾,wr
䚿,wr
䛀,wy
䛁,wa
䛃,we
䛄,wv
䛅,wj
䛆,wy
䛇,wk
䛈,wu
䛉,wm
䛊,wb
䛋,ww
䛌,ws
䛍,wf
䛎,wb
䛏,wb
䛔,we
䛗,ik
䛘,wr
䛙,wm
䛚,fk
䛝,we
䛞,wg
䛟,wj
䛠,wa
䛢,wj
䛣,wv
䛤,wr
䛥,wj
䛨,wu
䛩,wy
䛪,wg
䛫,wi
䛬,wf
䛭,wg
䛮,wk
䛯,wk
䛰,wb
䛱,wx
䛲,wj
䛳,wd
䛴,wk
䛵,wy
䛷,wv
䛹,wu
䛼,wg
䛽,wj
䛾,wx
䛿,wl
䜁,wn
䜃,wt
䜅,wf
䜆,gk
䜇,wy
䜈,wg
䜉,wu
䜊,wo
䜋,wb
䜌,yd
䜍,wx
䜎,wl
䜏,wo
䜐,ek
䜑,wx
䜒,wd
䜓,wm
䜔,wz
䜕,wy
䜗,wx
䜙,wh
䜚,wz
䜜,wo
䜝,wv
䜡,ww
䜢,wx
䜣,yj
䜩,yh
䜪,bj
䜫,bg
䜭,lk
䜮,bn
䜯,bm
䜱,by
䜲,bv
䜴,ay
䜶,al
䜷,ay
䜸,am
䜹,au
䜺,ao
䜼,sa
䜽,ad
䜾,ao
䝀,at
䝁,ha
䝃,ah
䝄,ay
䝅,ut
䝈,uv
䝋,ux
䝍,ui
䝎,ue
䝏,un
䝐,uo
䝑,ul
䝒,un
䝓,uv
䝕,ue
䝖,vv
䝘,vy
䝙,vx
䝚,vb
䝛,vy
䝜,vw
䝞,vj
䝟,vd
䝢,vy
䝣,vm
䝤,vx
䝥,vu
䝦,vn
䝧,od
䝪,or
䝫,ov
䝬,ov
䝭,ok
䝰,oc
䝱,lb
䝳,lb
䝵,of
䝶,ox
䝷,ub
䝸,oy
䝹,ov
䝻,ok
䝼,oo
䝽,ot
䞀,ou
䞁,on
䞂,od
䞃,ow
䞄,fb
䞈,oh
䞋,oe
䞍,ko
䞑,tg
䞒,tk
䞔,tm
䞕,te
䞖,ty
䞗,tc
䞘,tq
䞙,tj
䞚,ty
䞛,tm
䞝,ty
䞞,tf
䞟,tb
䞠,tu
䞡,ta
䞢,tv
䞣,ti
䞤,tk
䞥,to
䞦,tk
䞧,tk
䞩,tk
䞪,tj
䞫,tk
䞭,tw
䞮,th
䞯,tz
䞰,td
䞱,tk
䞳,tk
䞴,tk
䞵,ty
䞶,tw
䞷,ti
䞹,tw
䞺,to
䞻,tl
䞽,tx
䞾,tj
䞿,br
䟀,tg
䟁,tg
䟂,ty
䟃,tp
䟄,tb
䟅,ir
䟆,tl
䟇,td
䟈,tw
䟉,ti
䟊,tu
䟋,tk
䟍,tf
䟏,tm
䟐,tv
䟑,tc
䟒,tf
䟓,zd
䟔,zb
䟕,zi
䟗,zu
䟘,zj
䟙,zd
䟛,zl
䟜,zn
䟝,zy
䟟,ir
䟠,zv
䟡,zd
䟣,zu
䟤,zb
䟥,zp
䟧,zt
䟨,zm
䟩,zs
䟪,zf
䟫,xr
䟬,zq
䟭,zv
䟮,zq
䟯,zk
䟰,zi
䟴,zn
䟵,zq
䟶,zt
䟷,zj
䟸,zc
䟹,zc
䟺,zb
䟻,zh
䟼,zv
䟾,zy
䟿,zu
䠀,zk
䠃,zr
䠄,zb
䠅,zh
䠆,zi
䠇,zi
䠈,zn
䠉,zk
䠊,zf
䠋,zu
䠍,zy
䠎,zt
䠏,zt
䠐,zq
䠑,zt
䠒,zo
䠓,zy
䠔,zu
䠕,zm
䠗,zq
䠘,zb
䠙,zf
䠚,zg
䠛,zf
䠜,ze
䠝,zb
䠟,tr
䠠,ar
䠡,zq
䠢,cr
䠤,zl
䠧,zo
䠨,zk
䠩,zp
䠪,zv
䠫,zn
䠬,ze
䠯,zc
䠰,zf
䠱,zi
䠳,ui
䠴,ul
䠵,uc
䠷,ud
䠸,uk
䠻,ug
䠼,ud
䠽,ua
䠾,ur
䠿,ub
䡀,ua
䡁,us
䡂,il
䡃,il
䡅,ii
䡆,is
䡈,ix
䡉,ij
䡊,iy
䡋,iy
䡍,if
䡐,ib
䡑,im
䡓,ii
䡔,ix
䡖,it
䡗,gi
䡘,it
䡙,il
䡚,ie
䡜,it
䡝,iv
䡞,"qi,oi"
䡟,iu
䡡,ib
䡢,ic
䡣,ii
䡤,li
䡦,im
䡧,iw
䡩,ib
䡪,ix
䡫,iz
䡬,iy
䡭,ii
䡯,ix
䡰,ui
䡲,il
䡳,ij
䡴,il
䡵,iz
䡷,im
䡽,ib
䡾,iq
䢃,ux
䢅,jn
䢇,bc
䢈,io
䢋,zl
䢌,zl
䢍,zf
䢏,zu
䢐,zq
䢑,zd
䢒,zx
䢓,zy
䢔,zk
䢕,"zx,zu"
䢖,zy
䢗,zq
䢙,zb
䢚,zg
䢝,zy
䢞,zm
䢡,zm
䢢,zk
䢦,zu
䢧,zp
䢨,zr
䢩,zw
䢭,zr
䢮,zt
䢰,zf
䢱,zb
䢲,zy
䢳,je
䢵,ee
䢸,qe
䢹,je
䢺,ie
䢻,ie
䢼,ce
䢾,ne
䢿,be
䣀,de
䣁,xe
䣂,le
䣄,re
䣅,ie
䣆,ae
䣇,qe
䣊,xe
䣋,pe
䣍,de
䣎,ve
䣐,ce
䣓,ae
䣔,xe
䣕,me
䣘,xe
䣙,ee
䣚,le
䣛,me
䣜,he
䣝,ue
䣟,ae
䣡,ye
䣢,le
䣤,oe
䣦,yl
䣧,yy
䣩,yt
䣪,yl
䣫,yy
䣬,yg
䣯,yq
䣵,ye
䣶,yk
䣷,yv
䣸,ry
䣹,yg
䣺,yo
䣻,yk
䣼,yx
䣽,uy
䣿,ym
䤁,yv
䤂,ym
䤃,yo
䤄,ym
䤅,yd
䤆,yt
䤉,ym
䤊,ye
䤋,ba
䤌,yk
䤍,yr
䤎,yk
䤏,yu
䤐,yo
䤑,yb
䤒,yd
䤔,dy
䤕,ym
䤖,yu
䤗,ly
䤘,yj
䤙,yi
䤚,ol
䤝,je
䤞,jy
䤠,jv
䤡,jr
䤤,jr
䤥,jv
䤧,jk
䤨,jn
䤩,jq
䤬,ju
䤭,jj
䤮,jp
䤰,tj
䤲,jd
䤳,jn
䤴,jk
䤵,jf
䤶,jd
䤷,jn
䤸,ju
䤹,jy
䤺,jj
䤻,jo
䤼,ju
䤽,jd
䤾,jj
䥂,"jn,ju"
䥃,jf
䥄,jo
䥇,jx
䥈,jc
䥉,jd
䥋,jh
䥎,jo
䥏,je
䥑,jw
䥒,gj
䥓,jt
䥔,jm
䥕,jw
䥗,jr
䥙,ju
䥛,jx
䥝,jb
䥞,jw
䥟,jv
䥢,uj
䥤,js
䥨,jk
䥩,jw
䥮,je
䥯,jb
䥰,ji
䥱,jh
䥲,jr
䥳,jw
䥵,jw
䥶,jv
䥷,jd
䥸,gj
䥽,jd
䦃,jo
䦆,jy
䦈,ag
䦊,ax
䦋,aw
䦌,mt
䦍,mq
䦏,ml
䦐,mu
䦑,mg
䦒,mu
䦓,mk
䦔,ma
䦕,mk
䦖,mk
䦗,mx
䦘,mg
䦙,mc
䦚,mk
䦛,ml
䦜,mk
䦝,md
䦟,mt
䦠,mn
䦡,mk
䦤,my
䦥,mm
䦪,mv
䦫,my
䦭,mo
䦮,mo
䦯,mw
䦱,mh
䦲,mk
䦳,me
䦴,mg
䦶,ml
䦷,mt
䦹,eu
䦺,ed
䦻,ez
䦼,eg
䦽,el
䦾,pe
䧁,ek
䧃,et
䧄,ek
䧅,ey
䧆,eb
䧇,ey
䧉,el
䧊,ek
䧋,ee
䧌,en
䧑,er
䧒,el
䧓,ek
䧔,ex
䧖,eg
䧗,ew
䧘,eu
䧚,ek
䧛,ef
䧜,ek
䧝,ei
䧞,em
䧠,ec
䧢,ek
䧤,en
䧥,ex
䧦,eh
䧧,ew
䧨,en
䧪,en
䧬,eb
䧮,ex
䧯,ed
䧰,ex
䧲,gf
䧳,vf
䧴,uf
䧷,wf
䧹,gf
䧿,cf
䨁,sf
䨂,hf
䨈,bf
䨊,rl
䨐,yk
䨑,yy
䨒,yx
䨗,yz
䨚,yx
䨛,yj
䨜,yo
䨝,yo
䨞,yy
䨟,yt
䨠,yv
䨢,yv
䨣,yg
䨤,yz
䨥,yy
䨨,yz
䨫,yw
䨭,yo
䨰,yg
䨱,yw
䨲,yd
䨳,ye
䨴,yc
䨵,yu
䨸,yx
䨹,yh
䨺,ys
䨻,yt
䨼,fy
䨽,fj
䨾,gf
䨿,tf
䩀,fb
䩁,fm
䩂,mv
䩃,mb
䩄,me
䩅,my
䩆,mv
䩇,mk
䩈,mm
䩉,mf
䩊,mv
䩋,mm
䩌,mh
䩍,mx
䩏,mu
䩐,gq
䩒,gy
䩓,gs
䩔,gy
䩕,ge
䩗,go
䩙,gy
䩚,gd
䩛,gb
䩜,gy
䩝,gg
䩞,gk
䩟,gy
䩡,gj
䩢,gj
䩣,gh
䩤,ge
䩥,gz
䩦,rg
䩧,gk
䩨,gi
䩩,gv
䩪,gk
䩫,gr
䩬,gl
䩮,gu
䩯,ga
䩱,gd
䩲,gy
䩳,gy
䩴,go
䩶,gi
䩷,gf
䩸,ge
䩹,gl
䩺,gx
䩼,gz
䩽,gk
䩾,gh
䪁,gn
䪃,gw
䪆,ga
䪈,gz
䪉,gv
䪊,gs
䪋,gz
䪌,gd
䪎,gk
䪏,vn
䪐,vb
䪒,vv
䪓,vk
䪔,vf
䪕,vm
䪗,vy
䪘,vr
䪙,vc
䪚,vx
䪛,vt
䪜,vk
䪝,vy
䪞,tj
䪤,jt
䪥,lj
䪦,lg
䪧,ly
䪨,lu
䪫,lg
䪬,lz
䪭,lo
䪮,lp
䪯,ho
䪰,lx
䪱,jb
䪳,yb
䪴,db
䪵,yb
䪶,qb
䪷,bb
䪸,mb
䪹,pb
䪻,sb
䪼,ib
䪽,kb
䪾,ap
䫀,gb
䫁,zb
䫂,xb
䫃,ib
䫄,bb
䫅,bb
䫆,ib
䫈,eb
䫉,vb
䫊,bb
䫋,hb
䫌,pb
䫎,yb
䫏,qb
䫐,mb
䫑,db
䫒,ub
䫔,fb
䫕,wb
䫖,qb
䫗,vb
䫘,ob
䫚,lb
䫛,rb
䫜,eb
䫞,yb
䫟,kb
䫠,pb
䫡,bb
䫢,pb
䫣,pb
䫤,bb
䫥,gb
䫦,tb
䫩,sb
䫪,db
䫫,lb
䫬,ab
䫭,vb
䫮,eb
䫰,al
䫲,xb
䫴,mb
䫵,zb
䫶,mb
䫸,jd
䫺,ui
䫻,jo
䫼,jg
䫽,jm
䫾,jb
䫿,jk
䬀,jl
䬁,jb
䬂,jv
䬄,jx
䬅,jl
䬆,jd
䬈,je
䬉,jd
䬊,jj
䬋,jw
䬌,hi
䬍,jx
䬎,ja
䬏,jk
䬐,jn
䬑,jo
䬒,jy
䬓,jo
䬔,jd
䬕,ji
䬘,jk
䬛,jl
䬝,jb
䬞,jc
䬟,jd
䬣,rq
䬤,ul
䬦,ry
䬧,re
䬨,rj
䬪,rb
䬫,rd
䬬,ry
䬯,rk
䬰,rk
䬱,rb
䬲,rk
䬳,rb
䬴,rm
䬵,rr
䬶,rg
䬷,rx
䬹,rt
䬼,ro
䬽,re
䬾,rp
䬿,rm
䭀,rz
䭁,fl
䭂,rb
䭃,rx
䭅,rk
䭆,il
䭇,rk
䭉,ro
䭎,rm
䭐,rx
䭑,rn
䭒,rx
䭓,ra
䭔,rz
䭕,il
䭖,rh
䭘,rx
䭙,ro
䭝,ro
䭞,rg
䭠,rn
䭡,rx
䭢,rd
䭤,rz
䭦,rc
䭨,rk
䭩,rf
䭫,bz
䭬,bz
䭭,bb
䭮,az
䭰,hl
䭱,hd
䭲,hk
䭳,ho
䭵,mf
䭷,mm
䭸,mx
䭹,me
䭺,mj
䭻,md
䭿,mu
䮂,md
䮄,my
䮊,my
䮎,mj
䮏,mk
䮑,mc
䮒,mf
䮓,mu
䮔,mi
䮕,my
䮖,mo
䮗,mg
䮘,me
䮙,ma
䮚,mw
䮜,mm
䮝,mi
䮞,mo
䮟,my
䮠,mt
䮡,mw
䮢,mj
䮤,mf
䮥,ml
䮧,um
䮨,mu
䮩,mg
䮫,mn
䮭,me
䮮,mw
䮰,mk
䮱,mz
䮳,mt
䮴,ma
䮵,ml
䮷,mi
䮸,pm
䮹,mp
䮺,ma
䮽,mh
䮾,ms
䮿,mr
䯂,mm
䯄,mn
䯆,gv
䯇,gl
䯈,ge
䯉,gr
䯊,gk
䯋,gd
䯌,gj
䯍,gs
䯏,gk
䯑,gw
䯒,gi
䯓,gt
䯔,gq
䯕,gz
䯖,gl
䯘,ge
䯙,gf
䯚,go
䯛,gv
䯜,gw
䯞,gk
䯟,gu
䯠,gm
䯡,gn
䯢,gg
䯣,gb
䯤,go
䯥,gh
䯦,gu
䯧,wk
䯨,wd
䯪,wb
䯫,ok
䯮,an
䯯,au
䯰,al
䯱,ab
䯲,ab
䯳,as
䯴,ay
䯵,ac
䯶,aq
䯷,au
䯸,ar
䯹,ay
䯼,ah
䯽,ak
䯾,ak
䯿,au
䰀,an
䰁,au
䰂,am
䰃,ay
䰄,ax
䰆,am
䰈,ag
䰉,ay
䰊,ac
䰌,ar
䰎,ab
䰐,am
䰒,"an,au"
䰓,af
䰕,am
䰘,lp
䰙,ay
䰚,aw
䰛,aw
䰜,gg
䰠,gu
䰡,gu
䰢,gi
䰤,dg
䰥,gg
䰦,gu
䰧,gj
䰩,lg
䰫,gw
䰬,gk
䰯,gr
䰰,yg
䰱,yg
䰲,av
䰴,aq
䰵,az
䰷,af
䰸,as
䰼,av
䰽,al
䰾,ab
䱀,ay
䱁,"ab,au"
䱂,al
䱃,au
䱅,am
䱊,am
䱋,ab
䱌,al
䱍,aa
䱏,aa
䱐,az
䱑,aj
䱒,ab
䱓,az
䱔,aw
䱕,am
䱗,la
䱙,ay
䱚,au
䱛,aa
䱜,ao
䱝,au
䱟,ak
䱠,ag
䱡,am
䱢,al
䱣,au
䱤,aj
䱥,pa
䱬,ao
䱭,aa
䱮,ad
䱯,sa
䱰,av
䱱,aj
䱲,au
䱳,al
䱵,ax
䱸,ay
䱺,aa
䱻,ag
䱼,an
䱾,an
䱿,aj
䲀,ta
䲁,ac
䲂,ar
䲃,ag
䲅,ae
䲆,aa
䲉,aj
䲊,ao
䲌,ar
䲏,al
䲐,al
䲑,aw
䲓,ar
䲕,ao
䲖,ac
䲗,ai
䲘,ak
䲙,ae
䲚,ab
䲛,ao
䲜,aa
䲟,ae
䲠,ao
䲢,oa
䲦,nd
䲧,tn
䲨,gn
䲪,dn
䲬,nu
䲮,en
䲯,jn
䲰,en
䲲,bn
䲳,wn
䲵,un
䲸,rn
䲹,pn
䲺,gn
䲻,wn
䲼,un
䲽,un
䲾,gn
䳀,nu
䳁,nd
䳂,dn
䳅,nb
䳆,bn
䳇,mn
䳉,wn
䳋,in
䳍,cn
䳎,jn
䳏,tn
䳐,dn
䳑,un
䳓,ln
䳔,jn
䳕,pn
䳖,nv
䳙,yn
䳚,on
䳜,rn
䳝,ln
䳞,fn
䳟,on
䳠,in
䳡,rn
䳢,qn
䳤,dn
䳦,bn
䳩,xn
䳭,gn
䳮,on
䳯,vn
䳲,fn
䳳,in
䳴,sn
䳵,ln
䳶,nd
䳷,in
䳸,gn
䳻,in
䳾,vn
䳿,pn
䴀,ln
䴁,bn
䴂,dn
䴃,tn
䴄,pn
䴅,un
䴆,yn
䴇,yn
䴉,sn
䴋,ny
䴍,on
䴐,bn
䴑,tn
䴓,an
䴔,wn
䴕,dn
䴖,fn
䴗,on
䴘,pn
䴙,un
䴚,lj
䴛,lo
䴜,lg
䴝,ly
䴞,lf
䴟,"gf,gw"
䴠,gy
䴣,gh
䴤,gu
䴦,gk
䴧,gn
䴩,gx
䴪,gu
䴬,ly
䴭,lc
䴮,le
䴯,lw
䴰,lg
䴱,lb
䴲,lm
䴳,lb
䴴,lk
䴵,lk
䴶,lf
䴷,le
䴹,lg
䴺,lk
䴻,hw
䴼,lg
䴽,lu
䴾,lg
䴿,"ln,lu"
䵀,lb
䵁,lc
䵂,lk
䵃,lb
䵇,gw
䵈,im
䵊,db
䵋,"co,no"
䵌,"cj,nj"
䵎,"ce,ne"
䵏,"cp,np"
䵐,"cl,nl"
䵒,ho
䵓,hn
䵔,hd
䵕,hk
䵖,iu
䵗,ht
䵘,hw
䵙,hx
䵚,hj
䵛,ht
䵜,hn
䵝,hv
䵟,hg
䵠,hu
䵢,hw
䵣,ha
䵤,kh
䵥,hb
䵦,hy
䵧,uh
䵨,hd
䵪,hb
䵫,bh
䵬,ho
䵭,ho
䵮,hw
䵰,hw
䵱,hk
䵲,hm
䵳,ho
䵴,he
䵵,vh
䵶,be
䵷,te
䵹,ue
䵺,tv
䵻,oe
䵼,pv
䵽,us
䵾,ry
䵿,uk
䶀,uk
䶁,uo
䶂,ju
䶃,jv
䶄,jp
䶅,jk
䶆,jf
䶇,jo
䶈,jc
䶉,jt
䶋,zj
䶎,zk
䶏,bl
䶐,zo
䶒,wn
䶓,ja
䶔,vy
䶕,vb
䶗,vk
䶘,vl
䶙,vj
䶛,dk
䶜,vk
䶞,vb
䶟,vj
䶡,vd
䶢,vk
䶣,va
䶤,vg
䶥,vq
䶦,vb
䶨,vr
䶩,va
䶪,vf
䶫,vw
䶬,"gs,ks"
䶮,lt
䶯,nx
䶰,"pm,dm"
䶱,wx
䶳,rj
䶵,rj
䶷,ke
𠀀,av
𠀃,la
𠀊,ud
𠀓,ga
𠀔,ar
𠀝,xu
𠀢,ab
𠀦,av
𠀱,bx
𠀷,ac
𠀸,aq
𠀼,ax
𠀽,ad
𠁗,ud
𠁞,bo
𠁠,qq
𠁭,gg
𠁷,ii
𠂄,dv
𠂆,pp
𠂇,ap
𠂈,vp
𠂑,pp
𠂔,pp
𠂟,pp
𠂢,pn
𠂤,pk
𠂥,pc
𠂧,ps
𠂸,pc
𠃊,vv
𠃌,vv
𠃖,gv
𠃫,av
𠃺,vz
𠄅,yv
𠄉,pv
𠄌,vv
𠄍,vl
𠄏,vv
𠄒,pc
𠄖,rd
𠄚,pd
𠄞,aa
𠄣,aa
𠄮,aa
𠄱,ei
𠄿,el
𠅂,wl
𠅌,wd
𠅗,dn
𠅚,wl
𠅤,wx
𠅬,wy
𠅱,bn
𠅹,wy
𠆐,wh
𠆙,wn
𠆛,wl
𠆣,ar
𠆧,rr
𠆩,rf
𠆮,rl
𠆱,ru
𠆲,rg
𠆵,rv
𠆶,rv
𠇋,rk
𠇏,rv
𠇗,rg
𠇘,rv
𠇱,rm
𠇵,rj
𠇷,ru
𠈅,rw
𠈊,rb
𠈥,rk
𠈬,rt
𠈭,rn
𠈰,rz
𠈱,ru
𠈵,rd
𠈶,rj
𠈸,rx
𠈺,rt
𠉢,ru
𠉣,ro
𠉤,ro
𠉧,ry
𠉩,rm
𠉬,ri
𠊉,rw
𠊌,rh
𠊎,rt
𠊏,rd
𠊒,rw
𠊔,rl
𠊣,ri
𠊤,rr
𠊥,ru
𠊦,rv
𠊧,ry
𠊩,rz
𠊪,ra
𠊫,rz
𠊬,re
𠊭,rk
𠊰,rk
𠊲,rq
𠊶,rn
𠊷,rw
𠊾,rt
𠋖,rj
𠋗,ry
𠋜,rk
𠋝,ru
𠋞,ry
𠋟,ry
𠋡,rl
𠋢,ry
𠋤,rt
𠋧,ra
𠋩,rw
𠋬,rq
𠋭,rk
𠋯,rj
𠋲,rx
𠋵,rw
𠋶,rb
𠋷,ri
𠋺,ri
𠋻,rw
𠌕,rl
𠌖,rm
𠌚,rl
𠌞,ry
𠌟,ry
𠌠,rt
𠌪,ro
𠌭,ru
𠌮,rh
𠌯,rd
𠌰,rv
𠌱,rf
𠌲,rj
𠌴,rj
𠌽,rf
𠍃,rj
𠍄,ra
𠍗,"rj,ra"
𠍚,rx
𠍜,rq
𠍨,"rv,rm"
𠍩,rl
𠍪,rh
𠍫,rr
𠍯,rw
𠍲,rm
𠍳,cg
𠍵,ry
𠍹,rk
𠍽,ro
𠎙,lk
𠎮,rr
𠎰,rx
𠎳,rh
𠎶,wr
𠎷,rj
𠎸,rk
𠎻,rz
𠎿,rn
𠏀,rz
𠏃,rw
𠏇,rt
𠏈,rf
𠏓,rk
𠏕,rn
𠏖,rh
𠏚,rx
𠏛,rf
𠏡,rs
𠏢,rv
𠏤,rb
𠏧,rs
𠏨,rx
𠏩,rr
𠏫,rm
𠏭,"rn,rr"
𠏮,rc
𠏰,rh
𠏿,rl
𠐀,rr
𠐁,"rn,ru"
𠐈,rf
𠐉,re
𠐊,ra
𠐋,rp
𠐌,rb
𠐍,rw
𠐑,rr
𠐡,ri
𠐢,re
𠐧,ro
𠐩,rj
𠐺,rb
𠐻,rr
𠐼,rk
𠐽,rj
𠐾,rb
𠐿,rb
𠑃,rn
𠑄,ry
𠑅,ra
𠑆,rj
𠑑,rj
𠑘,rb
𠑙,rs
𠑚,ry
𠑛,rw
𠑞,rz
𠑟,rz
𠑡,ru
𠑪,rk
𠑯,rb
𠑰,rk
𠑲,rr
𠑴,ro
𠑹,ea
𠒄,iw
𠒜,ee
𠒝,xb
𠒢,ed
𠒰,jl
𠒵,xj
𠒸,zw
𠒾,dm
𠒿,xk
𠓊,xl
𠓋,xg
𠓌,xn
𠓖,xj
𠓗,dd
𠓙,ne
𠓜,rr
𠓝,ru
𠓞,re
𠓢,ru
𠓣,rx
𠓤,ro
𠓪,gg
𠓫,rb
𠓭,rm
𠓮,rk
𠓵,rr
𠓶,ar
𠓷,rx
𠓸,rm
𠓽,ri
𠓿,rf
𠔀,pa
𠔂,lb
𠔋,bx
𠔍,by
𠔎,bl
𠔑,bd
𠔕,bc
𠔠,ba
𠔨,vn
𠔯,"bd,bn"
𠔲,bf
𠔶,qb
𠔺,bk
𠔻,pb
𠔼,ka
𠕁,kc
𠕄,lv
𠕆,ua
𠕊,kd
𠕌,ko
𠕕,kd
𠕖,km
𠕟,rk
𠕠,ki
𠕣,kj
𠕦,kd
𠕭,ku
𠕳,br
𠕴,bj
𠕻,be
𠖂,by
𠖄,bk
𠖆,bb
𠖋,bt
𠖓,bx
𠖛,be
𠖟,bd
𠖫,bb
𠖬,dv
𠖶,dx
𠖷,dk
𠖹,dj
𠗂,dk
𠗆,rd
𠗈,dq
𠗉,dj
𠗊,dg
𠗋,dx
𠗌,de
𠗘,db
𠗚,du
𠗛,dm
𠗝,"dt,dr"
𠗥,do
𠗨,dm
𠗩,dl
𠗳,dn
𠗴,dg
𠗵,df
𠗶,dk
𠗺,dx
𠗻,dt
𠗼,dx
𠗽,dp
𠗾,dx
𠗿,dp
𠘁,de
𠘂,dr
𠘅,dd
𠘆,dm
𠘊,dn
𠘋,dv
𠘌,da
𠘕,dh
𠘖,db
𠘝,db
𠘞,dn
𠘟,dv
𠘢,dv
𠘣,dc
𠘥,dw
𠘧,pv
𠘪,jj
𠘱,jp
𠘳,je
𠘺,wj
𠙆,xj
𠙔,jg
𠙕,jk
𠙞,xj
𠙤,jn
𠙶,lk
𠙼,kk
𠚃,ak
𠚄,rk
𠚅,bk
𠚆,ll
𠚉,hk
𠚓,uk
𠚔,sk
𠚜,"pk,pa"
𠚠,ok
𠚡,pk
𠚥,dd
𠚧,ed
𠚨,vd
𠚭,"ud,bd"
𠚮,dq
𠚯,wd
𠚱,ld
𠚴,vd
𠚵,jd
𠚹,jd
𠚺,ud
𠚻,pd
𠚼,bd
𠚽,ud
𠛀,bd
𠛋,bd
𠛎,bd
𠛑,wd
𠛒,gd
𠛓,pd
𠛔,pd
𠛕,ed
𠛖,ad
𠛘,dd
𠛙,ld
𠛚,yd
𠛡,bd
𠛥,bd
𠛦,pd
𠛩,yd
𠛪,ed
𠛫,xd
𠛭,kd
𠛮,rd
𠛱,vd
𠛳,wd
𠛵,gd
𠛶,bd
𠛸,vd
𠜁,yd
𠜃,jd
𠜄,xd
𠜅,wd
𠜈,yd
𠜉,ld
𠜋,rd
𠜐,ld
𠜑,bd
𠜖,pd
𠜗,xd
𠜘,ed
𠜙,fd
𠜤,tr
𠜱,pd
𠜲,yd
𠜳,od
𠜴,gd
𠜵,fg
𠜹,od
𠜾,ud
𠝐,cd
𠝑,ud
𠝘,wd
𠝚,cd
𠝝,ud
𠝞,qd
𠝟,cd
𠝢,rd
𠝤,vd
𠝪,wd
𠝬,bd
𠝲,hd
𠝽,do
𠝿,xd
𠞀,bd
𠞃,bd
𠞄,pd
𠞆,wd
𠞈,"kd,od"
𠞉,xd
𠞊,yd
𠞕,vr
𠞖,gd
𠞗,td
𠞙,hd
𠞞,pd
𠞤,vd
𠞧,gd
𠞩,wd
𠞬,wd
𠞭,ld
𠞮,dd
𠞯,yd
𠞱,nd
𠞵,sd
𠞶,wd
𠞾,id
𠞿,sd
𠟂,bd
𠟃,bd
𠟅,vd
𠟈,dd
𠟉,ud
𠟊,rd
𠟋,td
𠟌,cd
𠟍,ld
𠟓,vd
𠟗,cd
𠟢,ed
𠟣,yd
𠟦,wd
𠟧,dd
𠟨,yd
𠟩,ud
𠟪,yd
𠟰,dd
𠟺,yd
𠟻,od
𠟼,wd
𠠁,od
𠠃,rj
𠠄,td
𠠋,ld
𠠎,gd
𠠐,ur
𠠔,ud
𠠗,vd
𠠜,hd
𠠝,id
𠠠,ur
𠠢,yd
𠠪,yd
𠠯,td
𠠳,vl
𠠵,jl
𠠶,ql
𠠷,vl
𠠹,dl
𠠻,"il,pl"
𠡂,fl
𠡄,vl
𠡊,dl
𠡑,dl
𠡒,pl
𠡔,vl
𠡝,vl
𠡞,bl
𠡡,ll
𠡤,wl
𠡥,lb
𠡭,tl
𠡮,ol
𠡱,xl
𠡷,lm
𠡸,ul
𠡻,cl
𠢃,ol
𠢆,bl
𠢇,ul
𠢌,fl
𠢍,hl
𠢓,cl
𠢔,kl
𠢕,"ul,fl"
𠢙,vl
𠢚,jl
